interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
3,2021-09-02,09:40:00,Female,21,Senior,Rest of United States,5,Female,21,Senior,Rest of California,Close friend,More than once a week,Female,21,Other,Bay Area,Friend,Once a week,Female,22,Senior,Bay Area,Friend,Once a week,Male,21,Senior,Rest of California,Friend,Once a month,Female,20,Senior,Bay Area,Friend,Once a week
1,2021-08-31,09:03:00,Female,21,Senior,Bay Area,5,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,22,Other,Bay Area,Close friend,Once a month,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,56,Other,Bay Area,Close friend,Once a week,Male,19,Sophomore,Bay Area,Close friend,Once a week
2,2021-08-31,20:37:00,Female,19,Junior,LA Area,5,Male,24,Other,LA Area,Close friend,More than once a week,Female,17,Freshman,LA Area,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,Once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Male,50,Other,LA Area,Close friend,More than once a week
3,2021-09-01,19:26:00,Female,20,Junior,LA Area,4,Male,60,Other,Rest of World,Close friend,More than once a week,Female,55,Other,Rest of World,Close friend,Once a month,Male,22,Other,LA Area,Close friend,Once a week,Female,19,Senior,LA Area,Close friend,More than once a week,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:02:00,Female,19,Sophomore,Rest of California,5,Female,51,Other,Rest of California,Close friend,Once a week,Male,60,Other,Rest of California,Close friend,Once a week,Female,18,Sophomore,Rest of United States,Friend,Once a week,Female,19,Sophomore,Rest of United States,Friend,Once a week,Female,19,Sophomore,Rest of California,Friend,Once a week
2,2021-08-31,09:50:00,Female,19,Sophomore,LA Area,5,Female,52,Other,LA Area,Close friend,More than once a week,Male,18,Sophomore,LA Area,Close friend,More than once a week,Female,20,Senior,LA Area,Close friend,Once a week,Male,56,Other,LA Area,Close friend,Once a week,Female,19,Sophomore,LA Area,Close friend,Once a week
3,2021-09-01,12:14:00,Female,18,Sophomore,Rest of California,4,NA,18,Sophomore,Rest of California,Close friend,More than once a week,Female,50,Other,Rest of California,Close friend,More than once a week,Male,47,Other,Rest of California,Close friend,More than once a week,Male,19,Other,Rest of California,Close friend,Once a week,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:00:00,Female,21,Senior,LA Area,6+,Female,55,Other,LA Area,Close friend,More than once a week,Male,27,Other,LA Area,Close friend,More than once a week,Female,22,Other,Rest of United States,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week
2,2021-09-01,11:00:00,Female,21,Senior,Rest of United States,4,Female,51,Other,Rest of United States,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Other,Rest of United States,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,NA,NA,NA,NA,NA,NA
3,2021-09-01,11:10:00,Female,20,Junior,Rest of United States,6+,Female,57,Other,Rest of United States,Close friend,More than once a week,Female,31,Other,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week
3,2021-09-01,20:46:00,Other,21,Senior,Bay Area,5,Male,23,Other,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Other,20,Senior,Rest of United States,Close friend,More than once a week,Other,20,Senior,LA Area,Close friend,More than once a week,Female,47,Other,Bay Area,Close friend,More than once a week
